Дата;Австралийский доллар;Азербайджанский манат;Белорусский рубль;Болгарский лев;Бразильский реал;Доллар США;Индийская рупия;Казахстанский тенге;Киргизский сом;Польский злотый;Чешская крона;Швейцарский франк;Японская иена;
24.10.2020;54,6278;45,0069;30,1953;46,3014;13,6721;76,4667;1,0392;0,1788;0,94672;19,7946;3,33333;84,4936;0,844936;
27.10.2020;54,3978;44,9937;30,0903;46,1983;13,6036;76,4443;1,0349;0,1778;0,947768;19,7638;3,31229;84,3384;0,843384;
28.10.2020;54,4746;45,0004;29,9239;46,1382;13,5938;76,4556;1,0368;0,1779;0,947833;19,6767;3,29792;84,1929;0,841929;
29.10.2020;55,2325;45,6457;30,0974;46,6030;13,5906;77,5520;1,0498;0,1800;0,955927;19,7852;3,33056;85,0537;0,850537;
30.10.2020;55,6191;46,4214;30,0457;47,3153;13,7246;78,8699;1,0643;0,1823;0,965407;19,9752;3,37217;86,5656;0,865656;
31.10.2020;55,7706;46,6935;30,0946;47,3371;13,7274;79,3323;1,0630;0,1832;0,971067;20,0532;3,38803;86,5884;0,865884;
03.11.2020;56,3702;47,4249;30,3027;47,9156;14,0304;80,5749;1,0825;0,1849;0,984696;20,3236;3,43808;87,7722;0,877722;
04.11.2020;56,7684;47,0869;30,1855;47,8101;13,9301;80,0006;1,0754;0,1846;0,977677;20,3300;3,4562;87,2607;0,872607;
06.11.2020;56,5039;46,1777;29,9187;47,1773;13,8517;78,4559;1,0548;0,1813;0,935007;20,3670;3,44037;86,2532;0,862532;
07.11.2020;56,0999;45,4311;29,9676;46,7293;13,9693;77,1875;1,0402;0,1785;0,920268;20,2051;3,4333;85,4317;0,854317;
10.11.2020;56,0746;45,2922;29,8493;46,7506;14,3432;76,9515;1,0394;0,1786;0,917798;20,3823;3,44333;85,5873;0,855873;
11.11.2020;55,6634;44,9663;29,8966;46,2316;14,1843;76,3978;1,0301;0,1781;0,911196;20,1758;3,41443;83,6961;0,836961;
12.11.2020;55,5553;44,8543;29,8443;45,9469;14,0734;76,2075;1,0253;0,1784;0,908924;19,9689;3,39575;83,1143;0,831143;
13.11.2020;55,9622;45,3883;30,0549;46,4771;14,3030;77,1148;1,0332;0,1796;0,916466;20,2374;3,43144;84,2601;0,842601;
14.11.2020;55,9764;45,5128;30,1208;46,7002;14,1675;77,3262;1,0371;0,1797;0,918636;20,3063;3,4433;84,5003;0,845003;
17.11.2020;56,1514;45,2735;30,0585;46,6434;14,0935;76,9197;1,0327;0,1791;0,906781;20,4139;3,45769;84,4993;0,844993;
18.11.2020;55,7333;44,8811;29,8329;46,2448;14,0779;76,2530;1,0228;0,1779;0,898922;20,1968;3,42095;83,5924;0,835924;
19.11.2020;55,5784;44,6891;29,7635;46,1449;14,2492;75,9268;1,0238;0,1775;0,895076;20,1633;3,41413;83,4085;0,834085;
20.11.2020;55,5040;44,8868;29,8111;46,1499;14,2191;76,2627;1,0268;0,1780;0,899327;20,1737;3,421;83,6030;0,83603;
21.11.2020;55,4127;44,7393;29,7619;46,1322;14,3265;76,0120;1,0257;0,1775;0,896271;20,1913;3,42636;83,5756;0,835756;
24.11.2020;55,5018;44,5909;29,7506;45,9569;14,0800;75,7600;1,0229;0,1782;0,893142;20,1265;3,41338;83,1979;0,831979;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
